id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
10,서울특별시 종로구 누상동,종로구,누상동,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,2,0,0,0,0,3
11,서울특별시 종로구 누하동,종로구,누하동,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,2,0,0,0,0,2
12,서울특별시 종로구 옥인동,종로구,옥인동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,0,0,0,0,1
13,서울특별시 종로구 체부동,종로구,체부동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1
14,서울특별시 종로구 필운동,종로구,필운동,0.0,0.0,0.0,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,2,0,0,0,0,0,3
15,서울특별시 종로구 내자동,종로구,내자동,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,0,0,0,0,2
16,서울특별시 종로구 사직동,종로구,사직동,0.0,0.0,0.0,0.21,0.0,0.12,0.43,0.0,0.0,0.0,0.77,2385.0,2178.0,1996.0,3690,3913,106.0,0,0,0,1,0,1,1,0,0,0,3
17,서울특별시 종로구 도렴동,종로구,도렴동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1
18,서울특별시 종로구 당주동,종로구,당주동,0.0,0.0,0.0,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.86,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,0,1,0,0,0,3
19,서울특별시 종로구 내수동,종로구,내수동,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,2,0,0,0,0,3
20,서울특별시 종로구 세종로,종로구,세종로,0.0,0.0,0.0,0.21,0.0,0.0,0.43,0.0,0.0,0.0,0.65,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,1,0,0,0,2
21,서울특별시 종로구 신문로1가,종로구,신문로1가,0.0,0.0,0.0,0.0,0.27,0.12,0.43,0.0,0.0,0.0,0.83,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,2,1,1,0,0,0,4
22,서울특별시 종로구 신문로2가,종로구,신문로2가,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2
23,서울특별시 종로구 청진동,종로구,청진동,0.0,0.0,0.0,0.43,0.27,0.62,0.87,0.0,0.0,0.0,2.19,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,2,5,2,0,0,0,11
24,서울특별시 종로구 서린동,종로구,서린동,0.0,0.0,0.0,0.0,0.13,0.12,0.87,0.0,0.0,0.0,1.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,2,0,0,0,4
25,서울특별시 종로구 수송동,종로구,수송동,0.0,0.0,3.33,0.64,0.27,0.38,1.3,0.0,0.0,0.0,5.92,0.0,0.0,0.0,3690,3913,106.0,0,0,1,3,2,3,3,0,0,0,12
26,서울특별시 종로구 중학동,종로구,중학동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,2388.0,2176.0,1997.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3
