,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy
68,68,서울특별시 종로구 충신동,종로구,충신동,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,0,0,0,0,2,주교동,인현동1가,원효로4가,37.568136,126.999252,37.564472,126.994232,37.533504,126.952763
69,69,서울특별시 종로구 동숭동,종로구,동숭동,3.33,0.0,0.0,0.43,0.4,0.62,1.3,0.0,0.0,0.0,6.09,0.0,0.0,0.0,3690,3913,106.0,1,0,0,2,3,5,3,0,0,0,14,영등포동3가,수송동,종로2가,37.518155,126.907998,37.573994,126.981139,37.570195,126.986454
70,70,서울특별시 종로구 혜화동,종로구,혜화동,0.0,1.25,3.33,0.21,0.0,0.25,0.0,0.0,0.0,0.0,5.05,2398.0,2178.0,1998.0,3690,3913,106.0,0,1,1,1,0,2,0,0,0,0,5,흥인동,태평로2가,명동1가,37.566792,127.016839,37.563334,126.976861,37.564135,126.984148
71,71,서울특별시 종로구 명륜1가,종로구,명륜1가,0.0,0.0,0.0,0.43,0.27,0.25,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,2,2,0,0,0,0,6,동선동2가,성북동1가,을지로3가,37.590091,127.020053,37.589374,127.003652,37.566292,126.992337
72,72,서울특별시 종로구 명륜2가,종로구,명륜2가,3.33,0.0,0.0,0.43,0.27,0.12,0.0,0.0,0.0,5.0,9.15,0.0,0.0,0.0,3690,3913,106.0,1,0,0,2,2,1,0,0,0,1,7,고척동,염창동,중곡동,37.503560,126.855829,37.551366,126.871300,37.561882,127.084745
73,73,서울특별시 종로구 명륜4가,종로구,명륜4가,0.0,0.0,0.0,0.21,0.4,0.12,0.43,0.0,0.0,0.0,1.17,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,3,1,1,0,0,0,6,저동2가,당산동1가,압구정동,37.564385,126.990257,37.522336,126.898748,37.528752,127.031766
74,74,서울특별시 종로구 명륜3가,종로구,명륜3가,0.0,0.0,0.0,0.43,0.53,0.12,0.43,0.0,0.0,0.0,1.52,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,4,1,1,0,0,0,8,영등포동1가,남대문로4가,장충동2가,37.517710,126.913057,37.560635,126.976863,37.559910,127.002560
75,75,서울특별시 종로구 창신동,종로구,창신동,3.33,2.5,0.0,0.85,0.8,0.38,0.0,0.0,0.0,0.0,7.86,0.0,0.0,0.0,3690,3913,106.0,1,2,0,4,6,3,0,0,0,0,16,묵동,월계동,대림동,37.611266,127.077829,37.622192,127.058650,37.494306,126.900642
76,76,서울특별시 종로구 숭인동,종로구,숭인동,0.0,0.0,0.0,1.49,0.67,1.5,0.43,0.0,0.0,0.0,4.09,0.0,0.0,0.0,3690,3913,106.0,0,0,0,7,5,12,1,0,0,0,25,노고산동,종로3가,회기동,37.554402,126.938556,37.570337,126.992072,37.591447,127.051971
77,77,서울특별시 종로구 교남동,종로구,교남동,0.0,0.0,0.0,0.0,0.13,0.0,0.43,0.0,0.0,0.0,0.57,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,1,0,0,0,2,재동,연지동,정동,37.578363,126.985575,37.573590,126.999447,37.566905,126.972078
