,Unnamed: 0,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy,elementary_count,middle_count,high_count,park_count,station
146,146,146,서울특별시 중구 산림동,중구,산림동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,1,0,0,0,0,0,1,용산동1가,신창동,청암동,37.534968,126.977282,37.53573,126.955199,37.53504,126.9465,0,0,0,0,[]
147,147,147,서울특별시 중구 충무로3가,중구,충무로3가,0.0,0.0,0.0,0.21,0.4,0.25,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,3,2,0,0,0,0,6,신문로1가,평동,부암동,37.570366,126.973968,37.567121,126.967018,37.594148,126.964248,0,0,0,0,[]
148,148,148,서울특별시 중구 초동,중구,초동,0.0,0.0,0.0,0.43,0.13,0.25,0.0,0.0,0.0,0.0,0.81,2339.0,2189.0,2026.0,4030,2679,66.5,0,0,0,2,1,2,0,0,0,0,5,원효로1가,인사동,금호동2가,37.539977,126.966998,37.571837,126.98620600000001,37.552482,127.020133,0,0,0,0,[]
149,149,149,서울특별시 중구 인현동1가,중구,인현동1가,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,1,0,0,0,0,0,2,원효로4가,보문동6가,보문동7가,37.533504,126.95276299999999,37.580444,127.019694,37.580033,127.02181999999999,0,0,0,0,[]
150,150,150,서울특별시 중구 저동2가,중구,저동2가,0.0,0.0,0.0,0.21,0.4,0.12,0.43,0.0,0.0,0.0,1.17,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,3,1,1,0,0,0,6,당산동1가,압구정동,서린동,37.522335999999996,126.898748,37.528752000000004,127.03176599999999,37.569668,126.979809,0,0,0,0,[]
151,151,151,서울특별시 중구 신당동,중구,신당동,0.0,2.5,3.33,3.62,2.53,2.5,0.43,0.0,0.0,0.0,14.92,2227.33,1895.25,1728.32,4030,2679,66.5,0,2,1,17,19,20,1,0,0,0,60,전농동,응암동,면목동,37.579797,127.053848,37.592677,126.920257,37.58442,127.086487,6,3,4,16,"['약수역 3호선', '신당역 2호선', '약수역 6호선', '청구역 5호선', '버티고개역 6호선', '청구역 6호선']"
152,152,152,서울특별시 중구 흥인동,중구,흥인동,0.0,0.0,3.33,0.21,0.13,0.38,0.87,0.0,0.0,0.0,4.92,0.0,0.0,0.0,4030,2679,66.5,0,0,1,1,1,3,2,0,0,0,8,태평로2가,명동1가,한남동,37.563334000000005,126.97686100000001,37.564135,126.984148,37.533889,127.003955,0,0,1,0,['신당역 6호선']
153,153,153,서울특별시 중구 무학동,중구,무학동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,1868.0,1698.0,4030,2679,66.5,0,0,0,1,1,1,0,0,0,0,3,동소문동4가,동소문동5가,동소문동6가,37.591541,127.010756,37.591666,127.01558999999999,37.59377,127.014858,0,0,0,0,[]
154,154,154,서울특별시 중구 황학동,중구,황학동,0.0,0.0,6.67,0.64,0.4,0.5,0.43,5.0,0.0,0.0,13.64,0.0,0.0,0.0,4030,2679,66.5,0,0,2,3,3,4,1,1,0,0,14,방학동,송파동,쌍문동,37.666224,127.03665,37.506058,127.11121599999998,37.652731,127.02871,0,0,0,1,[]
155,155,155,서울특별시 중구 서소문동,중구,서소문동,0.0,0.0,0.0,0.43,0.27,0.25,1.74,0.0,0.0,0.0,2.68,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,2,2,4,0,0,0,10,상수동,충정로2가,창전동,37.547431,126.922946,37.565191999999996,126.964529,37.550965999999995,126.92983500000001,0,0,0,0,['시청역 2호선']
