,address,gu,dong,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
409,서울특별시 영등포구 당산동5가,영등포구,당산동5가,0,0,0,1,3,6,0,0,0,0,10
410,서울특별시 영등포구 당산동6가,영등포구,당산동6가,0,0,1,3,3,5,3,0,0,0,15
411,서울특별시 영등포구 당산동,영등포구,당산동,0,0,0,0,3,4,0,0,0,0,7
412,서울특별시 영등포구 도림동,영등포구,도림동,0,0,0,3,4,4,0,0,0,0,11
413,서울특별시 영등포구 문래동1가,영등포구,문래동1가,0,0,0,0,0,1,0,0,0,0,1
414,서울특별시 영등포구 문래동2가,영등포구,문래동2가,0,0,0,0,1,2,0,0,0,0,3
415,서울특별시 영등포구 문래동3가,영등포구,문래동3가,0,1,0,1,6,8,3,0,0,0,19
416,서울특별시 영등포구 문래동4가,영등포구,문래동4가,0,0,0,0,1,1,0,0,0,0,2
417,서울특별시 영등포구 문래동5가,영등포구,문래동5가,0,0,0,1,1,2,0,0,0,0,4
418,서울특별시 영등포구 문래동6가,영등포구,문래동6가,0,0,0,3,0,2,0,0,0,0,5
419,서울특별시 영등포구 양평동1가,영등포구,양평동1가,0,0,0,0,1,1,0,0,0,0,2
420,서울특별시 영등포구 양평동2가,영등포구,양평동2가,0,0,0,2,3,3,0,0,0,0,8
421,서울특별시 영등포구 양평동3가,영등포구,양평동3가,1,1,1,4,3,4,0,0,0,0,14
422,서울특별시 영등포구 양평동4가,영등포구,양평동4가,0,0,0,2,3,6,2,0,0,0,13
423,서울특별시 영등포구 양평동5가,영등포구,양평동5가,0,0,0,3,3,4,0,0,0,0,10
424,서울특별시 영등포구 양평동6가,영등포구,양평동6가,0,0,0,1,0,1,0,0,0,0,2
425,서울특별시 영등포구 양화동,영등포구,양화동,0,0,0,0,0,5,0,0,0,0,5
426,서울특별시 영등포구 신길동,영등포구,신길동,1,1,0,8,13,28,1,0,0,0,52
427,서울특별시 영등포구 대림동,영등포구,대림동,0,1,0,8,15,22,0,0,0,0,46
428,서울특별시 영등포구 양평동,영등포구,양평동,0,0,0,0,0,0,0,0,0,0,0
429,서울특별시 동작구,,,0,0,0,0,0,0,0,0,0,0,0
430,서울특별시 동작구 노량진동,동작구,노량진동,1,1,1,8,16,17,1,0,0,0,45
431,서울특별시 동작구 상도동,동작구,상도동,1,1,0,13,17,28,3,0,0,0,63
432,서울특별시 동작구 상도1동,동작구,상도1동,0,0,0,4,5,6,0,0,0,0,15
433,서울특별시 동작구 본동,동작구,본동,0,0,0,0,3,2,0,0,0,0,5
434,서울특별시 동작구 흑석동,동작구,흑석동,1,1,0,6,8,6,1,0,0,0,23
435,서울특별시 동작구 동작동,동작구,동작동,0,0,0,0,1,2,0,0,0,0,3
436,서울특별시 동작구 사당동,동작구,사당동,1,2,1,19,14,30,3,0,1,0,71
437,서울특별시 동작구 대방동,동작구,대방동,0,0,1,7,4,11,0,0,0,0,23
438,서울특별시 동작구 신대방동,동작구,신대방동,0,1,0,4,14,9,1,0,0,0,29
439,서울특별시 관악구,,,0,0,0,0,0,0,0,0,0,0,0
440,서울특별시 관악구 봉천동,관악구,봉천동,0,3,3,39,51,67,5,1,0,0,169
441,서울특별시 관악구 신림동,관악구,신림동,1,2,1,40,75,71,4,1,0,0,195
442,서울특별시 관악구 남현동,관악구,남현동,0,1,0,6,4,6,1,0,0,0,18
443,서울특별시 서초구,,,0,0,0,0,0,0,0,0,0,0,0
444,서울특별시 서초구 방배동,서초구,방배동,0,1,2,18,25,28,8,0,0,0,82
445,서울특별시 서초구 양재동,서초구,양재동,2,1,1,21,9,21,2,0,0,0,57
446,서울특별시 서초구 우면동,서초구,우면동,0,0,0,1,6,5,0,0,0,0,12
447,서울특별시 서초구 원지동,서초구,원지동,0,0,0,0,0,1,0,0,0,0,1
448,서울특별시 서초구 잠원동,서초구,잠원동,0,0,1,6,10,15,4,0,0,0,36
449,서울특별시 서초구 반포동,서초구,반포동,0,1,2,15,13,18,7,0,1,0,57
450,서울특별시 서초구 서초동,서초구,서초동,3,1,1,37,49,48,20,0,1,0,160
451,서울특별시 서초구 내곡동,서초구,내곡동,0,0,0,0,1,3,0,0,0,0,4
452,서울특별시 서초구 염곡동,서초구,염곡동,0,0,0,0,1,0,0,0,0,0,1
453,서울특별시 서초구 신원동,서초구,신원동,0,0,0,2,2,2,1,0,0,0,7
454,서울특별시 강남구,,,0,0,0,0,0,0,0,0,0,0,0
455,서울특별시 강남구 역삼동,강남구,역삼동,2,3,3,47,48,80,23,0,1,1,208
